Year,County,Yield,solar_radiation,humidity,wind_speed,wind_speed_max,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
2014,washburn,96.7,17.786666666666665,80.75000000000001,2.49,7.44,35.71,47.46666666666667,58.01666666666667,68.56666666666668,48.03333333333333,13.426666666666668,0.775
2014,columbia,166.2,18.73333333333333,77.73833333333333,2.8966666666666665,9.01,26.66,50.25,61.333333333333336,72.45,50.5,15.631666666666666,1.0683333333333334
2014,dane,180.7,18.73333333333333,77.825,2.9166666666666665,9.22,30.85,51.21666666666667,61.95000000000001,72.63333333333334,51.01666666666667,15.298333333333334,1.2283333333333333
2014,dodge,166.0,18.671666666666667,78.61833333333333,2.91,9.64,26.54,50.55,60.56666666666666,70.61666666666666,50.01666666666667,14.766666666666666,1.865
2014,green,177.4,19.19333333333333,77.47000000000001,2.7916666666666665,9.19,30.55,51.61666666666667,61.93333333333334,72.21666666666667,51.81666666666666,14.366666666666667,1.05
2014,jefferson,163.4,18.671666666666667,77.39,2.873333333333333,9.54,24.32,51.55,61.916666666666664,72.25,50.96666666666667,14.845,1.3416666666666668
2014,rock,184.1,19.19333333333333,77.47000000000001,2.7916666666666665,9.19,23.04,51.416666666666664,62.28333333333333,73.14999999999999,50.916666666666664,16.293333333333333,1.3883333333333334
2014,kenosha,174.9,18.538333333333338,78.04666666666667,2.89,9.3,22.51,51.48333333333333,60.46666666666667,69.45,51.25,11.581666666666663,1.2083333333333333
2014,milwaukee,126.4,18.538333333333338,78.10333333333332,2.901666666666667,9.07,25.08,52.26666666666667,60.43333333333334,68.55,50.05,11.783333333333331,1.765
2014,ozaukee,143.3,18.238333333333333,79.18666666666667,3.061666666666667,9.21,25.53,48.98333333333333,58.416666666666664,67.89999999999999,49.65,11.486666666666666,0.7566666666666667
2014,racine,172.7,18.538333333333338,83.69833333333334,3.768333333333333,12.33,22.15,52.55,59.86666666666667,67.18333333333334,50.81666666666666,10.356666666666667,1.515
2014,walworth,187.4,19.155,78.39333333333333,2.78,9.42,22.44,50.55,61.333333333333336,72.13333333333334,50.71666666666667,14.765,1.135
2014,washington,150.6,18.671666666666667,79.18666666666667,3.061666666666667,9.21,26.37,48.36666666666667,58.93333333333334,69.46666666666667,48.833333333333336,13.396666666666668,0.9683333333333334
2014,waukesha,169.9,18.671666666666667,78.10333333333332,2.901666666666667,9.07,25.1,49.96666666666667,60.25,70.55,49.583333333333336,13.705,1.0716666666666663
2014,crawford,154.0,18.71,77.20166666666667,2.921666666666667,9.7,25.8,52.416666666666664,62.13333333333333,71.86666666666666,51.73333333333333,14.196666666666667,1.278333333333333
2014,grant,176.3,18.951666666666668,77.20166666666667,2.921666666666667,9.7,22.73,52.01666666666667,61.95,71.91666666666667,51.98333333333333,13.94,1.1483333333333332
2014,iowa,186.7,18.71,77.73,2.8533333333333335,9.25,27.51,51.06666666666666,61.51666666666667,71.98333333333333,51.21666666666667,14.655,1.165
2014,lafayette,182.4,18.951666666666668,77.39333333333333,2.8216666666666668,9.33,24.14,50.26666666666667,61.6,72.93333333333334,51.75,15.218333333333334,0.805
2014,richland,155.1,18.71,77.99166666666666,2.926666666666667,9.44,27.4,50.0,61.13333333333333,72.3,51.0,15.173333333333332,0.89
2014,sauk,154.5,18.73333333333333,78.46833333333332,2.92,9.61,25.99,51.51666666666667,61.3,71.14999999999999,51.36666666666667,13.33,1.195
2014,vernon,159.2,18.71,77.99166666666666,2.926666666666667,9.44,27.08,50.51666666666667,60.26666666666667,70.01666666666667,51.4,12.71,0.6383333333333333
2014,buffalo,148.3,18.285,78.87166666666666,2.973333333333333,9.61,29.77,50.78333333333333,61.7,72.58333333333333,50.75,16.168333333333333,0.8633333333333333
2014,dunn,140.8,18.285,81.39833333333333,2.893333333333333,9.67,36.85,49.85,59.86666666666667,69.88333333333333,50.21666666666667,13.65,0.7483333333333334
2014,eau claire,149.2,18.285,80.05833333333332,2.921666666666667,10.02,29.0,48.95,59.35,69.71666666666667,50.01666666666667,13.411666666666669,0.605
2014,jackson,149.5,18.201666666666664,80.27666666666666,2.941666666666667,9.98,30.2,46.65,59.56666666666666,72.5,49.583333333333336,16.57,0.22
2014,la crosse,167.1,18.418333333333333,78.39,3.015,9.67,29.61,52.03333333333333,62.18333333333334,72.35000000000001,51.23333333333333,15.225,1.23
2014,monroe,147.2,18.71,78.46499999999999,2.946666666666667,9.32,29.6,48.61666666666667,59.68333333333334,70.73333333333333,49.916666666666664,14.173333333333332,0.6816666666666666
2014,pepin,147.7,18.285,78.87166666666666,2.973333333333333,9.61,28.56,49.96666666666667,60.55,71.10000000000001,50.45,14.681666666666668,0.71
2014,pierce,144.5,18.331666666666667,78.41,3.0500000000000003,10.02,31.41,48.65,59.13333333333333,69.61666666666667,50.55,12.935,0.2516666666666666
2014,st croix,135.4,18.17,80.68333333333334,2.818333333333334,9.41,32.28,49.71666666666667,59.25,68.8,50.1,12.623333333333331,0.755
2014,trempealeau,158.3,18.285,80.05833333333332,2.921666666666667,10.02,33.08,49.31666666666666,60.13333333333333,70.93333333333334,50.55,14.308333333333332,0.5966666666666667
2013,adams,109.4,19.041666666666668,77.98833333333334,3.0416666666666665,9.41,24.39,48.416666666666664,59.916666666666664,71.48333333333333,49.78333333333333,15.828333333333331,0.7050000000000001
2013,green lake,151.6,19.108333333333334,78.59833333333334,2.9916666666666667,9.77,22.06,49.4,60.13333333333333,70.91666666666667,50.03333333333333,14.576666666666666,0.8233333333333334
2013,juneau,101.7,18.951666666666664,77.98833333333334,3.0416666666666665,9.41,23.34,49.4,60.849999999999994,72.26666666666667,50.56666666666666,16.078333333333333,0.8533333333333334
2013,marquette,110.3,19.041666666666668,77.76833333333333,2.931666666666666,9.69,27.59,49.583333333333336,60.76666666666667,71.96666666666667,49.96666666666667,16.04,0.95
2013,portage,135.7,18.836666666666662,78.35666666666667,2.9166666666666665,9.65,19.97,48.35,58.88333333333333,69.38333333333334,48.65,14.236666666666666,0.9716666666666668
2013,waupaca,151.4,18.921666666666667,78.55999999999999,2.8716666666666666,9.2,19.16,48.96666666666667,60.18333333333334,71.38333333333334,49.55,16.26,0.8966666666666666
2013,waushara,143.5,18.836666666666662,77.76833333333333,2.931666666666666,9.69,19.68,48.65,60.03333333333333,71.39999999999999,49.71666666666667,15.748333333333337,0.7183333333333333
2013,wood,98.5,18.5,78.485,2.966666666666667,10.08,22.7,48.7,59.833333333333336,70.91666666666667,49.25,15.638333333333335,0.8816666666666667
2013,brown,149.5,18.371666666666663,78.99333333333334,3.268333333333333,10.02,18.26,49.166666666666664,59.48333333333333,69.8,49.98333333333333,13.606666666666667,0.8716666666666667
2013,calumet,140.2,18.921666666666667,78.84666666666666,3.3300000000000005,10.3,18.98,50.31666666666666,60.76666666666666,71.25,49.98333333333333,15.271666666666668,1.1383333333333334
