USPS,GEOID,GEOIDFQ,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WI,55119,0500000US55119,1581119,Taylor County,2525374173,24630990,975.052,9.51,45.211656,-90.504853
WI,55121,0500000US55121,1581120,Trempealeau County,1898373579,23331635,732.966,9.008,44.30305,-91.358867
WI,55123,0500000US55123,1581121,Vernon County,2050138652,64286576,791.563,24.821,43.599366,-90.821983
WI,55125,0500000US55125,1581122,Vilas County,2221464775,414409101,857.712,160.004,46.049848,-89.501254
WI,55127,0500000US55127,1581123,Walworth County,1438571926,54805475,555.436,21.161,42.66811,-88.541731
WI,55129,0500000US55129,1581124,Washburn County,2064515984,145563867,797.114,56.203,45.892489,-91.796422
WI,55131,0500000US55131,1581125,Washington County,1115362169,12999404,430.644,5.019,43.391156,-88.232917
WI,55133,0500000US55133,1581126,Waukesha County,1423787374,79799940,549.727,30.811,43.018368,-88.30424
WI,55135,0500000US55135,1581127,Waupaca County,1936539537,45252052,747.702,17.472,44.478004,-88.967005
WI,55137,0500000US55137,1581128,Waushara County,1621749747,29096948,626.161,11.234,44.112823,-89.239786
WI,55139,0500000US55139,1581129,Winnebago County,1125861111,372630362,434.697,143.873,44.085707,-88.668149
WI,55141,0500000US55141,1581130,Wood County,2053933339,42019652,793.028,16.224,44.461413,-90.038825
