County,Year,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
Forest,1997,18.88,42.73333333333333,54.23333333333333,65.7,45.26666666666667,11.265,0.295
Forest,1998,13.19,45.96666666666667,58.916666666666664,71.88333333333334,47.583333333333336,15.786666666666667,0.4916666666666667
Forest,1999,24.68,45.9,57.73333333333333,69.53333333333335,48.11666666666667,13.048333333333334,0.45999999999999996
Forest,2000,25.07,43.75,55.43333333333334,67.10000000000001,46.833333333333336,12.041666666666666,0.205
Forest,2001,21.13,46.06666666666666,57.48333333333333,68.89999999999999,47.78333333333333,13.558333333333332,0.47
Forest,2002,28.48,45.76666666666667,56.51666666666667,67.25,47.98333333333334,12.0,0.47500000000000003
Forest,2003,19.69,43.63333333333333,55.666666666666664,67.68333333333334,45.21666666666667,13.633333333333333,0.375
Forest,2004,16.4,43.11666666666667,54.75,66.41666666666667,45.53333333333333,12.174999999999999,0.3833333333333333
Forest,2005,18.45,46.300000000000004,58.68333333333334,71.05,47.56666666666666,15.771666666666667,0.6033333333333334
Forest,2006,19.37,45.35,57.699999999999996,70.08333333333333,46.71666666666667,15.273333333333333,0.7516666666666666
Forest,2007,15.91,45.31666666666666,57.63333333333333,69.93333333333334,46.4,15.515,0.7000000000000001
Forest,2008,18.58,43.800000000000004,55.75,67.73333333333333,46.199999999999996,13.473333333333334,0.3183333333333333
Forest,2009,16.7,42.5,54.78333333333333,67.06666666666666,43.88333333333333,13.763333333333334,0.545
Forest,2010,26.85,46.833333333333336,58.28333333333333,69.75,48.76666666666667,13.501666666666667,0.49499999999999994
Forest,2011,19.0,44.88333333333333,56.25,67.61666666666666,47.18333333333334,12.906666666666666,0.5266666666666667
Forest,2012,17.28,44.75,57.88333333333333,70.96666666666665,46.98333333333333,15.746666666666668,0.5
Forest,2013,21.37,43.5,55.26666666666666,67.01666666666667,46.5,12.833333333333334,0.365
Forest,2014,23.71,42.93333333333334,54.4,65.91666666666667,46.18333333333334,11.705,0.325
Forest,2015,21.88,45.01666666666667,57.1,69.16666666666667,47.416666666666664,13.37,0.4083333333333334
Forest,2016,23.05,45.13333333333333,57.36666666666667,69.61666666666666,48.050000000000004,14.128333333333332,0.3016666666666667
Forest,2017,28.41,43.86666666666667,56.366666666666674,68.85000000000001,47.71666666666667,13.368333333333334,0.19166666666666665
Forest,2018,20.79,43.800000000000004,56.949999999999996,70.11666666666666,46.916666666666664,15.163333333333334,0.365
Forest,2019,23.88,43.666666666666664,55.28333333333333,66.86666666666666,46.333333333333336,12.591666666666667,0.27166666666666667
Forest,2020,28.32,44.550000000000004,56.01666666666667,67.46666666666667,46.333333333333336,12.924999999999999,0.43166666666666664
Forest,2021,19.78,44.76666666666667,57.333333333333336,69.88333333333334,47.98333333333333,14.13,0.48166666666666663
Forest,2022,20.13,44.166666666666664,56.050000000000004,67.93333333333334,47.26666666666667,13.401666666666666,0.435
Forest,2023,14.6,44.48333333333333,56.73333333333333,68.96666666666667,47.48333333333333,14.171666666666667,0.43166666666666664
Forest,2024,18.740000000000002,46.6,58.11666666666667,69.60000000000001,49.06666666666666,13.346666666666666,0.38999999999999996
Grant,1984,22.01,50.61666666666667,61.916666666666664,73.18333333333334,50.98333333333333,15.371666666666668,0.9683333333333334
Grant,1985,20.259999999999998,51.449999999999996,62.71666666666667,73.95,52.06666666666666,15.663333333333334,1.0716666666666665
Grant,1986,22.53,52.56666666666666,63.0,73.43333333333334,54.25,13.401666666666666,0.67
Grant,1987,25.56,53.416666666666664,64.43333333333334,75.45,54.35,15.613333333333332,0.7799999999999999
